Trial,trialAudio,Group,Block,TrainingTrialType,target,distractor
59,n_lasvit.mp3,A,test,NA,lasvit.png,stamzee.png
60,n_lasvit.mp3,A,test,NA,lasvit.png,boga.png
61,n_boga.mp3,A,test,NA,boga.png,zeenum.png
62,n_boga.mp3,A,test,NA,boga.png,stimmer.png
63,n_boga.mp3,A,test,NA,boga.png,zicky.png
64,n_boga.mp3,A,test,NA,boga.png,naysis.png
65,n_kobber.mp3,A,test,NA,kobber.png,tirpa.png
66,n_kobber.mp3,A,test,NA,kobber.png,zicky.png
67,n_kobber.mp3,A,test,NA,kobber.png,naysis.png
68,n_kobber.mp3,A,test,NA,kobber.png,stamzee.png
69,n_crambo.mp3,A,test,NA,crambo.png,zeenum.png
70,n_crambo.mp3,A,test,NA,crambo.png,stimmer.png
71,n_crambo.mp3,A,test,NA,crambo.png,meeva.png
72,n_crambo.mp3,A,test,NA,crambo.png,lasvit.png
1,f_staper.mp3,B,test,NA,staper.png,mubby.png
2,f_staper.mp3,B,test,NA,staper.png,meeva.png
3,f_staper.mp3,B,test,NA,staper.png,findo.png
4,f_staper.mp3,B,test,NA,staper.png,crambo.png
5,f_zeenum.mp3,B,test,NA,zeenum.png,staper.png
6,f_zeenum.mp3,B,test,NA,zeenum.png,mubby.png
7,f_zeenum.mp3,B,test,NA,zeenum.png,lorter.png
8,f_zeenum.mp3,B,test,NA,zeenum.png,danter.png
9,f_tirpa.mp3,B,test,NA,tirpa.png,staper.png
10,f_tirpa.mp3,B,test,NA,tirpa.png,zeenum.png
11,f_tirpa.mp3,B,test,NA,tirpa.png,zicky.png
12,f_tirpa.mp3,B,test,NA,tirpa.png,lasvit.png
13,f_stimmer.mp3,B,test,NA,stimmer.png,zable.png
14,f_stimmer.mp3,B,test,NA,stimmer.png,findo.png
15,f_stimmer.mp3,B,test,NA,stimmer.png,lasvit.png
16,f_stimmer.mp3,B,test,NA,stimmer.png,zeenum.png
17,f_veelut.mp3,B,test,NA,veelut.png,staper.png
18,f_veelut.mp3,B,test,NA,veelut.png,mubby.png
19,f_veelut.mp3,B,test,NA,veelut.png,zable.png
20,f_veelut.mp3,B,test,NA,veelut.png,kobber.png
21,f_zable.mp3,B,test,NA,zable.png,lorter.png
22,f_zable.mp3,B,test,NA,zable.png,meeva.png
23,f_zable.mp3,B,test,NA,zable.png,findo.png
24,f_zable.mp3,B,test,NA,zable.png,kobber.png
25,f_zicky.mp3,B,test,NA,zicky.png,staper.png
26,f_zicky.mp3,B,test,NA,zicky.png,veelut.png
27,f_zicky.mp3,B,test,NA,zicky.png,danter.png
28,f_zicky.mp3,B,test,NA,zicky.png,crambo.png
29,f_mubby.mp3,B,test,NA,mubby.png,tirpa.png
30,f_mubby.mp3,B,test,NA,mubby.png,stimmer.png
31,f_mubby.mp3,B,test,NA,mubby.png,danter.png
32,f_mubby.mp3,B,test,NA,mubby.png,boga.png
33,f_naysis.mp3,B,test,NA,naysis.png,tirpa.png
34,f_naysis.mp3,B,test,NA,naysis.png,veelut.png
35,f_naysis.mp3,B,test,NA,naysis.png,danter.png
36,f_naysis.mp3,B,test,NA,naysis.png,crambo.png
37,f_stamzee.mp3,B,test,NA,stamzee.png,naysis.png
38,f_stamzee.mp3,B,test,NA,stamzee.png,lorter.png
39,f_stamzee.mp3,B,test,NA,stamzee.png,boga.png
40,f_stamzee.mp3,B,test,NA,stamzee.png,crambo.png
41,f_lorter.mp3,B,test,NA,lorter.png,tirpa.png
42,f_lorter.mp3,B,test,NA,lorter.png,veelut.png
43,f_lorter.mp3,B,test,NA,lorter.png,zicky.png
44,f_lorter.mp3,B,test,NA,lorter.png,boga.png
45,f_meeva.mp3,B,test,NA,meeva.png,stimmer.png
46,f_meeva.mp3,B,test,NA,meeva.png,findo.png
47,f_meeva.mp3,B,test,NA,meeva.png,lasvit.png
48,f_meeva.mp3,B,test,NA,meeva.png,kobber.png
49,f_danter.mp3,B,test,NA,danter.png,veelut.png
50,f_danter.mp3,B,test,NA,danter.png,zable.png
51,f_danter.mp3,B,test,NA,danter.png,stamzee.png
52,f_danter.mp3,B,test,NA,danter.png,meeva.png
53,f_findo.mp3,B,test,NA,findo.png,kobber.png
54,f_findo.mp3,B,test,NA,findo.png,lorter.png
55,f_findo.mp3,B,test,NA,findo.png,mubby.png
56,f_findo.mp3,B,test,NA,findo.png,stamzee.png
57,f_lasvit.mp3,B,test,NA,lasvit.png,zable.png
58,f_lasvit.mp3,B,test,NA,lasvit.png,naysis.png
59,f_lasvit.mp3,B,test,NA,lasvit.png,stamzee.png
60,f_lasvit.mp3,B,test,NA,lasvit.png,boga.png
61,f_boga.mp3,B,test,NA,boga.png,zeenum.png
62,f_boga.mp3,B,test,NA,boga.png,stimmer.png
63,f_boga.mp3,B,test,NA,boga.png,zicky.png
64,f_boga.mp3,B,test,NA,boga.png,naysis.png
65,f_kobber.mp3,B,test,NA,kobber.png,tirpa.png
66,f_kobber.mp3,B,test,NA,kobber.png,zicky.png
67,f_kobber.mp3,B,test,NA,kobber.png,naysis.png
68,f_kobber.mp3,B,test,NA,kobber.png,stamzee.png
69,f_crambo.mp3,B,test,NA,crambo.png,zeenum.png
70,f_crambo.mp3,B,test,NA,crambo.png,stimmer.png
71,f_crambo.mp3,B,test,NA,crambo.png,meeva.png
72,f_crambo.mp3,B,test,NA,crambo.png,lasvit.png
